year,symbol,PE
2016-01-01,AAP,24.850388139534886
2016-01-01,AAPL,13.129341497005987
2016-01-01,ABC,13.496284992570578
2016-01-01,ADI,66.68750260416667
2016-01-01,ADSK,-46.37328767123287
2016-01-01,AMAT,16.400641025641026
2016-01-01,APD,45.057044136986306
2016-01-01,AVY,22.02990066445183
2016-01-01,AYI,34.874812218890554
2016-01-01,AZO,18.4651972061657
2016-01-01,BBBY,8.597087281553398
2016-01-01,BBY,14.121621814671816
2016-01-01,BDX,34.594771459695
2016-01-01,CAG,-23.02343240974522
2016-01-01,CAH,18.35550516055046
2016-01-01,CLX,24.595807984031936
2016-01-01,COL,16.517920788530464
2016-01-01,COO,27.32300884955752
2016-01-01,COST,29.916044496268654
2016-01-01,CPB,31.005494505494504
2016-01-01,CRM,-1046.4285714285713
2016-01-01,CSCO,13.3685441314554
2016-01-01,CTAS,16.38095253968254
2016-01-01,DE,98.2362642857143
2016-01-01,DG,18.311868434343435
2016-01-01,DHI,12.38702949790795
2016-01-01,DIS,18.028646093749998
2016-01-01,DLTR,60.791337007874006
2016-01-01,DRI,23.205782482993197
2016-01-01,EA,19.80428927613941
2016-01-01,EL,27.282391694352164
2016-01-01,EMR,20.55731245059289
2016-01-01,FDX,25.357360166919577
2016-01-01,FFIV,22.151013351749544
2016-01-01,FL,17.40745501285347
2016-01-01,GIS,21.061837279151945
2016-01-01,GPN,32.5390243902439
2016-01-01,GPS,10.390625223214284
2016-01-01,HD,24.20309653916211
2016-01-01,HOLX,33.30084745762712
2016-01-01,HP,-121.77777777777776
2016-01-01,HPQ,9.229166666666666
2016-01-01,HRB,18.656666666666666
2016-01-01,HRL,80.83152391304348
2016-01-01,HRS,36.39080459770115
2016-01-01,ILMN,49.65987257053291
2016-01-01,INTU,28.08579142091153
2016-01-01,JEC,28.211427714285715
2016-01-01,JWN,15.256211180124224
2016-01-01,K,41.836205747126435
2016-01-01,KLAC,16.29646017699115
2016-01-01,KMX,19.10423371335505
2016-01-01,KR,18.13157918660287
2016-01-01,KSS,13.926724137931036
2016-01-01,LB,18.7046511627907
2016-01-01,LLTC,25.82673292079208
2016-01-01,LOW,26.798534615384614
2016-01-01,LRCX,16.14434747826087
2016-01-01,M,10.860429754601228
2016-01-01,MCHP,34.81446635220126
2016-01-01,MCK,17.06008131364562
2016-01-01,MON,33.55132483443709
2016-01-01,MSFT,27.66037712264151
2016-01-01,MU,-67.0
2016-01-01,NKE,25.386877601809953
2016-01-01,NTAP,39.743589743589745
2016-01-01,NVDA,63.55752168141593
2016-01-01,PAYX,26.96666619047619
2016-01-01,PDCO,22.189118393782387
2016-01-01,PH,19.918624161073826
2016-01-01,PKI,27.83333306878307
2016-01-01,PVH,11.761870359712232
2016-01-01,QCOM,15.062500000000002
2016-01-01,RHT,69.48623990825688
2016-01-01,RL,21.584946021505377
2016-01-01,ROK,21.093749285714285
2016-01-01,ROST,23.65415059288538
2016-01-01,SBUX,30.117800785340314
2016-01-01,SIG,18.32088353140917
2016-01-01,SJM,21.753899480069325
2016-01-01,SPLS,15.711864406779661
2016-01-01,STX,44.70481867469879
2016-01-01,SWKS,14.406072485768505
2016-01-01,SYMC,6.035040296495957
2016-01-01,SYY,29.05120391566265
2016-01-01,TEL,12.180327686703098
2016-01-01,TGT,13.509345327102805
2016-01-01,TIF,21.329639889196677
2016-01-01,TJX,21.57248535502959
2016-01-01,TXT,17.861111111111114
2016-01-01,URBN,14.290502793296088
2016-01-01,VAR,20.188389454976303
2016-01-01,VFC,19.708620344827587
2016-01-01,VIAB,10.46831955922865
2016-01-01,WDC,63.301981683168314
2016-01-01,WFM,20.725805806451614
2016-01-01,WMT,14.150655349344978
2016-01-01,XLNX,25.04906518691589
